Date,Open,High,Low,Close,Volume,SOURCE: Pocket Portfolio API
04/01/2024,397.82,398.05,376.14,378.13,91750800,
05/01/2024,378.38,401.00,377.98,387.53,69101300,
06/01/2024,387.87,395.59,382.93,391.13,49359600,
07/01/2024,392.08,413.86,390.26,408.49,78368900,
08/01/2024,409.70,416.55,384.93,416.21,77139800,
09/01/2024,413.91,426.20,400.81,423.12,61897000,
10/01/2024,422.42,433.20,417.02,417.67,67262300,
11/01/2024,419.67,451.28,416.44,450.09,78838100,
12/01/2024,450.61,451.55,421.72,425.50,61525100,
01/01/2025,428.34,450.36,418.51,445.39,55903700,
02/01/2025,439.61,449.73,431.02,438.37,50573500,
03/01/2025,439.54,440.69,407.25,419.88,58428200,
04/01/2025,418.41,423.65,366.32,406.34,95234300,
05/01/2025,408.55,428.66,407.02,422.85,55956500,
06/01/2025,421.31,441.26,419.08,440.65,62030300,
07/01/2025,440.19,450.25,437.64,441.33,78442700,
08/01/2025,437.75,457.87,433.40,456.09,95749600,
09/01/2025,451.99,467.00,450.16,463.74,105680700,
10/01/2025,462.57,480.39,454.56,475.67,162673000,
11/01/2025,476.16,484.40,457.71,477.18,143704200,
12/01/2025,474.34,489.66,472.95,480.57,103952900,
01/01/2026,481.85,496.34,478.38,489.03,128009100,
02/01/2026,488.87,505.30,486.76,489.66,133105300,
03/01/2026,484.34,490.98,450.44,463.19,182101700,
04/01/2026,466.00,498.38,458.88,496.65,89398200,
05/01/2026,498.84,511.31,489.00,510.78,94898700,
06/01/2026,509.85,526.57,500.10,522.39,115968700,
07/01/2026,521.43,532.54,514.72,518.76,58744200,
07/24/2026,517.28,520.56,516.27,518.76,3269106,
DATA END,For automated updates,upgrade at:,pocketportfolio.app/sponsor,,,
